country,city,latitude,longitude,temp,temp_min,temp_max,pressure,humidity,sea_level,ground_level,wind_speed,wind_degree,sunrise,sunset,rain_1h,rain_3h,timezone,cloud,description,region,population
NG,Alodifi,7.14,5.33,301.13,301.13,301.13,1012,63,1012,975,2.8,219,1707890178,1707932981,,,3600,13,few clouds,Ondo,12760
NG,Alodifi,7.18,5.41,301.84,301.84,301.84,1011,57,1011,976,3.05,213,1707890161,1707932960,,,3600,13,few clouds,Ondo,10115
NG,Owo,7.3,5.52,302.98,302.98,302.98,1011,44,1011,977,2.58,205,1707890141,1707932926,,,3600,14,few clouds,Ondo,9139
NG,Idanre,7.02,5.22,300.58,300.58,300.58,1012,75,1012,984,2.53,225,1707890197,1707933014,,,3600,14,few clouds,Ondo,7152
NG,Owo,7.2,5.44,302.13,302.13,302.13,1011,55,1011,977,3.17,211,1707890155,1707932951,,,3600,13,few clouds,Ondo,6810
NG,Owo,7.15,5.48,301.99,301.99,301.99,1011,58,1011,977,3.23,214,1707890142,1707932945,,,3600,13,few clouds,Ondo,5619
NG,Agbabu,6.41,4.65,300.75,300.75,300.75,1011,89,1011,1010,2.63,213,1707890299,1707933186,,,3600,16,few clouds,Ondo,20300
NG,Agbabu,6.34,4.71,300.79,300.79,300.79,1011,88,1011,1010,2.64,212,1707890281,1707933175,,,3600,14,few clouds,Ondo,21155
NG,Siluko,6.16,4.99,300.91,300.91,300.91,1011,85,1011,1010,2.18,198,1707890204,1707933118,,,3600,11,few clouds,Ondo,22201
NG,Siluko,6.14,4.98,300.92,300.92,300.92,1011,85,1011,1009,2.32,199,1707890205,1707933122,,,3600,11,few clouds,Ondo,22201
NG,Agbabu,6.34,4.64,300.89,300.89,300.89,1011,89,1011,1010,3.29,213,1707890298,1707933192,,,3600,19,few clouds,Ondo,20713
NG,Agbabu,6.06,4.82,301.24,301.24,301.24,1011,87,1011,1011,3.96,212,1707890239,1707933165,,,3600,8,clear sky,Ondo,11753
NG,Siluko,6.11,5.06,301.14,301.14,301.14,1011,83,1011,1010,2.3,197,1707890184,1707933104,,,3600,11,few clouds,Ondo,19719
NG,Agbabu,6.12,4.8,301.08,301.08,301.08,1011,87,1011,1010,3.61,212,1707890247,1707933166,,,3600,8,clear sky,Ondo,17455
NG,Owo,7.03,5.62,301.88,301.88,301.88,1011,66,1011,988,3.35,224,1707890102,1707932918,,,3600,15,few clouds,Ondo,6465
NG,Alodifi,7.26,5.35,301.94,301.94,301.94,1012,52,1012,975,2.8,211,1707890180,1707932970,,,3600,14,few clouds,Ondo,12824
NG,Emure-Ekiti,7.32,5.42,302.4,302.4,302.4,1011,44,1011,973,2.13,209,1707890166,1707932949,,,3600,13,few clouds,Ondo,10674
NG,Ore,6.73,5.01,300.23,300.23,300.23,1012,84,1012,1004,1.56,228,1707890231,1707933081,,,3600,13,few clouds,Ondo,13033
NG,Ondo State,7.17,4.96,300.94,300.94,300.94,1012,71,1012,980,2.41,200,1707890268,1707933068,,,3600,51,broken clouds,Ondo,13308
NG,Ifon,7.05,5.69,301.94,301.94,301.94,1011,63,1011,985,3.42,221,1707890086,1707932900,,,3600,18,few clouds,Ondo,9156
NG,Ondo,6.97,4.69,300.97,300.97,300.97,1012,76,1012,997,2.16,187,1707890321,1707933144,,,3600,66,broken clouds,Ondo,8046
NG,Alodifi,7.23,5.4,302.07,302.07,302.07,1011,53,1011,975,3.07,210,1707890166,1707932959,,,3600,13,few clouds,Ondo,10651
NG,Omuo-Ekiti,7.53,5.85,303.45,303.45,303.45,1011,27,1011,971,1.18,352,1707890075,1707932834,,,3600,14,few clouds,Ondo,17905
NG,Siluko,6.05,4.99,301.16,301.16,301.16,1011,84,1011,1010,2.6,199,1707890197,1707933125,,,3600,11,few clouds,Ondo,22201
NG,Siluko,6.05,4.99,301.16,301.16,301.16,1011,84,1011,1010,2.6,199,1707890197,1707933125,,,3600,11,few clouds,Ondo,22201
NG,Omuo-Ekiti,7.63,5.88,303.59,303.59,303.59,1011,23,1011,968,1.21,356,1707890073,1707932821,,,3600,10,clear sky,Ondo,25265
NG,Agbabu,6.26,4.68,300.94,300.94,300.94,1011,88,1011,1010,3.48,212,1707890284,1707933187,,,3600,17,few clouds,Ondo,21796
NG,Agbabu,6.42,4.72,300.59,300.59,300.59,1011,89,1011,1009,2.12,212,1707890283,1707933168,,,3600,13,few clouds,Ondo,18166
NG,Agbabu,6.47,4.62,300.58,300.58,300.58,1011,89,1011,1008,2.28,213,1707890310,1707933190,,,3600,15,few clouds,Ondo,18845
NG,Agbabu,6.36,4.62,300.87,300.87,300.87,1011,89,1011,1010,3.29,213,1707890304,1707933196,,,3600,20,few clouds,Ondo,19999
NG,Agbabu,6.26,4.68,300.94,300.94,300.94,1011,88,1011,1010,3.48,212,1707890284,1707933187,,,3600,17,few clouds,Ondo,21796
NG,Agbabu,6.41,4.94,300.51,300.51,300.51,1011,86,1011,1008,1.63,210,1707890230,1707933116,,,3600,11,few clouds,Ondo,20691
NG,Omuo-Ekiti,7.71,5.91,304,304,304,1011,20,1011,969,1.3,354,1707890071,1707932810,,,3600,8,clear sky,Ondo,26309
NG,Omuo-Ekiti,7.71,5.91,304,304,304,1011,20,1011,969,1.3,354,1707890071,1707932810,,,3600,8,clear sky,Ondo,26309
NG,Omuo-Ekiti,7.71,5.91,304,304,304,1011,20,1011,969,1.3,354,1707890071,1707932810,,,3600,8,clear sky,Ondo,26309
